Ticker,Beta_Market,Beta_SMB,Beta_HML
AAPL,1.123108249404012,-0.21667993701988084,-0.4785948040894529
MSFT,1.0758526618587059,-0.6466389234362482,-0.39699774341742794
NVDA,1.7702302601091764,-0.36364203687143126,-0.9121395176345279
GOOGL,1.0860548816434745,-0.41265523572362706,-0.3335715533574299
META,1.1978780329420673,-0.3429199614851501,-0.6620513977293089
AMZN,1.2457821404634288,-0.10583060560662948,-0.9975861152462794
TSLA,1.4128592776957014,1.3406256730428348,-1.1972164771978122
KO,0.566685936885622,-0.6812289501784748,0.21891518655506662
WMT,0.5533573590360047,-0.4904622006292995,-0.18296599195517418
JNJ,0.5697936624622044,-0.3882362659713143,0.1862901529957118
UNH,0.5281371288552853,0.1078488155175615,0.17493808455126295
JPM,1.1982447804189527,-0.006579771943766083,0.8569362923696145
BAC,1.3745810947547246,0.1813683147101051,1.0506957575241378
CAT,1.266958907935757,0.2852161575456399,0.40824599256419125
XOM,0.8182870626237364,-0.06295216671201664,0.9792889202222516
